m,Left Helix Joints,Right Helix Joints,Left Helix Count,Other Helix Count,Symmetry,Antiparallel
6,UP,UP,0-60-0,0-60-0,1.0,True
8,DOWN,DOWN,0-60-0,0-60-0,,
7,UP,UP,0-60-0,0-60-0,,
10,DOWN,DOWN,0-60-0,0-60-0,,
4,UP,UP,0-60-0,0-60-0,,
13,DOWN,DOWN,0-60-0,0-60-0,,
4,UP,UP,0-60-0,0-60-0,,
11,DOWN,DOWN,0-60-0,0-60-0,,
