data:m,data:left_helix_joints,data:right_helix_joints,data:up_helix_counts,data:down_helix_counts,data:symmetry,data:antiparallel
6,UP,UP,0&60&0,0&60&0,1.0,True
14,DOWN,DOWN,0&60&0,0&60&0,,
6,UP,UP,0&60&0,0&60&0,,
8,DOWN,DOWN,0&60&0,0&60&0,,
8,UP,UP,0&60&0,0&60&0,,
6,DOWN,DOWN,0&60&0,0&60&0,,
14,UP,UP,0&60&0,0&60&0,,
6,DOWN,DOWN,0&60&0,0&60&0,,
8,UP,UP,0&60&0,0&60&0,,
8,DOWN,DOWN,0&60&0,0&60&0,,
